name,position,team,half_ppr_points,play_prob,vot
Elijah Moore,WR,DEN,2.68,0.315,0.78
Kyle Monangai,RB,CHI,7.86,0.098,0.77
Kenneth Gainwell,RB,PIT,10.99,0.065,0.71
Jawhar Jordan,RB,HOU,6.55,0.107,0.7
Kyle Williams,WR,NE,2.6,0.27,0.65
Jayden Higgins,WR,HOU,6.41,0.107,0.63
DK Metcalf,WR,PIT,10.51,0.065,0.63
Luther Burden,WR,CHI,6.96,0.098,0.63
Tutu Atwell,WR,LAR,2.82,0.24,0.63
Nick Chubb,RB,HOU,5.45,0.107,0.58
Xavier Smith,WR,LAR,2.46,0.24,0.55
George Kittle,TE,SF,12.09,0.044,0.53
Dalton Kincaid,TE,BUF,8.88,0.055,0.49
Josh Jacobs,RB,GB,14.87,0.032,0.48
Xavier Hutchinson,WR,HOU,4.74,0.107,0.47
Dyami Brown,WR,JAX,2.98,0.164,0.45
Khalil Shakir,WR,BUF,8.28,0.055,0.42
Tim Patrick,WR,JAX,2.76,0.164,0.42
Jauan Jennings,WR,SF,9.72,0.044,0.4
Olamide Zaccheaus,WR,CHI,4.08,0.098,0.37
Christian Watson,WR,GB,11.49,0.032,0.37
Christian Kirk,WR,HOU,3.38,0.107,0.33
Keon Coleman,WR,BUF,6.42,0.055,0.33
Jaylin Noel,WR,HOU,3.26,0.107,0.32
Omarion Hampton,RB,LAC,13.3,0.024,0.32
Ricky Pearsall,WR,SF,7.84,0.044,0.32
Brittain Brown,RB,CHI,3.23,0.098,0.32
Calvin Austin,WR,PIT,5.05,0.065,0.3
Jared Wayne,WR,HOU,3.0,0.107,0.3
Tank Bigsby,RB,PHI,3.08,0.093,0.29
Ty Johnson,RB,BUF,5.19,0.055,0.29
Romeo Doubs,WR,GB,8.49,0.032,0.25
Jahdae Walker,WR,CHI,2.63,0.098,0.24
Quentin Johnston,WR,LAC,10.55,0.024,0.23
Gabe Davis,WR,BUF,4.15,0.055,0.21
Jahan Dotson,WR,PHI,2.42,0.093,0.21
Ladd McConkey,WR,LAC,9.24,0.024,0.2
Kimani Vidal,RB,LAC,8.45,0.024,0.2
Kendrick Bourne,WR,SF,4.6,0.044,0.19
Keenan Allen,WR,LAC,8.36,0.024,0.19
Joshua Palmer,WR,BUF,3.44,0.055,0.17
Oronde Gadsden,TE,LAC,7.26,0.024,0.17
Ray Davis,RB,BUF,3.12,0.055,0.17
Jayden Reed,WR,GB,5.57,0.032,0.16
Emanuel Wilson,RB,GB,5.0,0.032,0.16
Roman Wilson,WR,PIT,2.66,0.065,0.16
Brian Robinson,RB,SF,3.44,0.044,0.15
Marquez Valdes-Scantling,WR,PIT,2.5,0.065,0.15
Brandin Cooks,WR,BUF,2.66,0.055,0.14
Demarcus Robinson,WR,SF,3.23,0.044,0.13
Rico Dowdle,RB,CAR,11.69,0.011,0.13
Dontayvion Wicks,WR,GB,4.34,0.032,0.13
Matthew Golden,WR,GB,3.96,0.032,0.12
Tetairoa McMillan,WR,CAR,10.49,0.011,0.11
Jaret Patterson,RB,LAC,4.03,0.024,0.1
Chuba Hubbard,RB,CAR,7.49,0.011,0.08
Jakobie Keeney-James,WR,GB,2.5,0.032,0.07
Tre' Harris,WR,LAC,3.2,0.024,0.07
Jalen Coker,WR,CAR,6.72,0.011,0.07
Xavier Legette,WR,CAR,4.79,0.011,0.05
Trevor Lawrence,QB,JAX,20.13,0.164,0.0
Jonathan Taylor,RB,IND,19.96,0.0,0.0
Brock Purdy,QB,SF,19.93,0.044,0.0
Bijan Robinson,RB,ATL,19.72,0.0,0.0
Jahmyr Gibbs,RB,DET,19.44,0.0,0.0
Jalen Hurts,QB,PHI,19.19,0.093,0.0
Caleb Williams,QB,CHI,18.66,0.098,0.0
Dak Prescott,QB,DAL,18.34,0.0,0.0
De'Von Achane,RB,MIA,18.08,0.0,0.0
Jared Goff,QB,DET,18.06,0.0,0.0
Justin Herbert,QB,LAC,18.05,0.024,0.0
Bo Nix,QB,DEN,17.7,0.315,0.0
Jaxson Dart,QB,NYG,17.4,0.0,0.0
Lamar Jackson,QB,BAL,16.84,0.0,0.0
Joe Burrow,QB,CIN,16.81,0.0,0.0
Jacoby Brissett,QB,ARI,16.67,0.0,0.0
Jayden Daniels,QB,WAS,16.61,0.0,0.0
Derrick Henry,RB,BAL,16.35,0.0,0.0
Baker Mayfield,QB,TB,16.11,0.0,0.0
Ja'Marr Chase,WR,CIN,15.82,0.0,0.0
Jordan Love,QB,GB,15.68,0.032,0.0
Amon-Ra St. Brown,WR,DET,15.62,0.0,0.0
Jameis Winston,QB,NYG,14.93,0.0,0.0
C.J. Stroud,QB,HOU,14.9,0.107,0.0
Trey McBride,TE,ARI,14.88,0.0,0.0
Tyler Shough,QB,NO,14.54,0.0,0.0
Chase Brown,RB,CIN,14.48,0.0,0.0
Sam Darnold,QB,SEA,14.32,0.483,0.0
George Pickens,WR,DAL,14.32,0.0,0.0
Aaron Rodgers,QB,PIT,14.16,0.065,0.0
Bryce Young,QB,CAR,14.0,0.011,0.0
Drake London,WR,ATL,13.99,0.0,0.0
Chris Olave,WR,NO,13.62,0.0,0.0
Malik Willis,QB,GB,13.29,0.032,0.0
Ashton Jeanty,RB,LV,12.92,0.0,0.0
J.J. McCarthy,QB,MIN,12.74,0.0,0.0
Bucky Irving,RB,TB,12.55,0.0,0.0
Zay Flowers,WR,BAL,12.14,0.0,0.0
Breece Hall,RB,NYJ,12.1,0.0,0.0
Tee Higgins,WR,CIN,12.01,0.0,0.0
Mac Jones,QB,SF,12.0,0.044,0.0
Cam Ward,QB,TEN,11.8,0.0,0.0
Marcus Mariota,QB,WAS,11.77,0.0,0.0
CeeDee Lamb,WR,DAL,11.67,0.0,0.0
Geno Smith,QB,LV,11.59,0.0,0.0
Tua Tagovailoa,QB,MIA,11.48,0.0,0.0
Joe Flacco,QB,CIN,11.44,0.0,0.0
Spencer Rattler,QB,NO,11.4,0.0,0.0
Davis Mills,QB,HOU,11.1,0.107,0.0
Jameson Williams,WR,DET,11.02,0.0,0.0
Shedeur Sanders,QB,CLE,10.86,0.0,0.0
Michael Wilson,WR,ARI,10.68,0.0,0.0
Alec Pierce,WR,IND,10.65,0.0,0.0
Kirk Cousins,QB,ATL,10.55,0.0,0.0
Philip Rivers,QB,IND,10.55,0.0,0.0
Tony Pollard,RB,TEN,10.31,0.0,0.0
Tyrod Taylor,QB,NYJ,10.24,0.0,0.0
Jaylen Waddle,WR,MIA,10.13,0.0,0.0
Phil Mafah,RB,DAL,9.9,0.0,0.0
Kyle Pitts,TE,ATL,9.81,0.0,0.0
Jake Browning,QB,CIN,9.75,0.0,0.0
Tyrone Tracy,RB,NYG,9.65,0.0,0.0
Emeka Egbuka,WR,TB,9.54,0.0,0.0
Harold Fannin,TE,CLE,9.53,0.0,0.0
Terry McLaurin,WR,WAS,9.52,0.0,0.0
Deebo Samuel,WR,WAS,9.51,0.0,0.0
Michael Pittman,WR,IND,9.44,0.0,0.0
Justin Jefferson,WR,MIN,9.38,0.0,0.0
David Montgomery,RB,DET,9.11,0.0,0.0
Travis Kelce,TE,KC,9.01,0.0,0.0
Aaron Jones,RB,MIN,8.89,0.0,0.0
Tyler Warren,TE,IND,8.85,0.0,0.0
Jake Ferguson,TE,DAL,8.77,0.0,0.0
Mike Evans,WR,TB,8.73,0.0,0.0
Juwan Johnson,TE,NO,8.55,0.0,0.0
Russell Wilson,QB,NYG,8.31,0.0,0.0
Jacory Croskey-Merritt,RB,WAS,8.22,0.0,0.0
Quinn Ewers,QB,MIA,8.17,0.0,0.0
Jordan Addison,WR,MIN,8.15,0.0,0.0
Kareem Hunt,RB,KC,8.14,0.0,0.0
Tyler Huntley,QB,BAL,8.03,0.0,0.0
Alvin Kamara,RB,NO,8.02,0.0,0.0
Tre Tucker,WR,LV,7.84,0.0,0.0
Jordan Mason,RB,MIN,7.74,0.0,0.0
Theo Wease,WR,MIA,7.63,0.0,0.0
Mitchell Trubisky,QB,BUF,7.28,0.055,0.0
Rachaad White,RB,TB,7.24,0.0,0.0
Chris Godwin,WR,TB,7.17,0.0,0.0
Marquise Brown,WR,KC,7.08,0.0,0.0
Theo Johnson,TE,NYG,7.02,0.0,0.0
Dillon Gabriel,QB,CLE,7.01,0.0,0.0
Chris Rodriguez,RB,WAS,6.96,0.0,0.0
Tyjae Spears,RB,TEN,6.86,0.0,0.0
Josh Downs,WR,IND,6.84,0.0,0.0
Tyler Allgeier,RB,ATL,6.82,0.0,0.0
Riley Leonard,QB,IND,6.6,0.0,0.0
Michael Carter,RB,ARI,6.35,0.0,0.0
Xavier Worthy,WR,KC,6.35,0.0,0.0
Mark Andrews,TE,BAL,6.29,0.0,0.0
Albert Okwuegbunam,TE,LV,6.1,0.0,0.0
Audric Estime,RB,NO,6.01,0.0,0.0
Elic Ayomanor,WR,TEN,6.0,0.0,0.0
Isiah Pacheco,RB,KC,5.98,0.0,0.0
Jalen McMillan,WR,TB,5.98,0.0,0.0
Ryan Flournoy,WR,DAL,5.88,0.0,0.0
Tyler Higbee,TE,LAR,5.86,0.24,0.0
T.J. Hockenson,TE,MIN,5.82,0.0,0.0
David Njoku,TE,CLE,5.82,0.0,0.0
Cade Otton,TE,TB,5.79,0.0,0.0
Jerry Jeudy,WR,CLE,5.75,0.0,0.0
Devin Singletary,RB,NYG,5.75,0.0,0.0
Brady Cook,QB,NYJ,5.69,0.0,0.0
Chig Okonkwo,TE,TEN,5.65,0.0,0.0
Darius Slayton,WR,NYG,5.59,0.0,0.0
Pat Freiermuth,TE,PIT,5.48,0.065,0.0
Chimere Dike,WR,TEN,5.42,0.0,0.0
Malik Washington,WR,MIA,5.28,0.0,0.0
Josh Johnson,QB,WAS,5.28,0.0,0.0
Greg Dulcich,TE,MIA,5.18,0.0,0.0
Sean Tucker,RB,TB,5.14,0.0,0.0
Chris Oladokun,QB,KC,5.07,0.0,0.0
Sterling Shepard,WR,TB,4.96,0.0,0.0
Jalen Nailor,WR,MIN,4.95,0.0,0.0
Dawson Knox,TE,BUF,4.92,0.055,0.0
KaVontae Turpin,WR,DAL,4.9,0.0,0.0
Tez Johnson,WR,TB,4.9,0.0,0.0
Samaje Perine,RB,CIN,4.89,0.0,0.0
Dylan Sampson,RB,CLE,4.87,0.0,0.0
Evan Engram,TE,DEN,4.86,0.315,0.0
Aidan O'Connell,QB,LV,4.78,0.0,0.0
Jaylen Wright,RB,MIA,4.77,0.0,0.0
Raheim Sanders,RB,CLE,4.7,0.0,0.0
Ronnie Bell,WR,NO,4.65,0.0,0.0
Adonai Mitchell,WR,NYJ,4.59,0.0,0.0
Jake Tonges,TE,SF,4.49,0.044,0.0
Darnell Mooney,WR,ATL,4.42,0.0,0.0
Mike Gesicki,TE,CIN,4.36,0.0,0.0
Gunnar Helm,TE,TEN,4.36,0.0,0.0
Michael Mayer,TE,LV,4.33,0.0,0.0
Andrei Iosivas,WR,CIN,4.32,0.0,0.0
Noah Fant,TE,CIN,4.25,0.0,0.0
Emari Demercado,RB,ARI,4.14,0.0,0.0
Isaac TeSlaa,WR,DET,3.99,0.0,0.0
Jaydon Blue,RB,DAL,3.98,0.0,0.0
Keaton Mitchell,RB,BAL,3.92,0.0,0.0
Shane Buechele,QB,BUF,3.92,0.055,0.0
Trey Lance,QB,LAC,3.89,0.024,0.0
Jonnu Smith,TE,PIT,3.89,0.065,0.0
Cole Kmet,TE,CHI,3.86,0.098,0.0
Cedric Tillman,WR,CLE,3.81,0.0,0.0
Isaiah Likely,TE,BAL,3.59,0.0,0.0
Jeremy McNichols,RB,WAS,3.54,0.0,0.0
John Metchie,WR,NYJ,3.46,0.0,0.0
Tanner McKee,QB,PHI,3.44,0.093,0.0
Andy Dalton,QB,CAR,3.38,0.011,0.0
Rashod Bateman,WR,BAL,3.38,0.0,0.0
JuJu Smith-Schuster,WR,KC,3.35,0.0,0.0
Terrance Ferguson,TE,LAR,3.33,0.24,0.0
Kevin Austin,WR,NO,3.31,0.0,0.0
DeAndre Hopkins,WR,BAL,3.29,0.0,0.0
Kalif Raymond,WR,DET,3.25,0.0,0.0
Isaiah Hodgins,WR,NYG,3.21,0.0,0.0
Josh Oliver,TE,MIN,3.17,0.0,0.0
Daniel Bellinger,TE,NYG,3.13,0.0,0.0
Joe Milton,QB,DAL,3.08,0.0,0.0
Austin Hooper,TE,NE,3.05,0.27,0.0
Tyler Lockett,WR,LV,3.01,0.0,0.0
Treylon Burks,WR,WAS,3.0,0.0,0.0
Jacoby Jones,WR,WAS,3.0,0.0,0.0
Brashard Smith,RB,KC,2.99,0.0,0.0
Davis Allen,TE,LAR,2.99,0.24,0.0
Ollie Gordon,RB,MIA,2.98,0.0,0.0
Tommy Tremble,TE,CAR,2.96,0.011,0.0
Hunter Long,TE,JAX,2.94,0.164,0.0
Taysom Hill,TE,NO,2.94,0.0,0.0
Devontez Walker,WR,BAL,2.88,0.0,0.0
Isaiah Bond,WR,CLE,2.86,0.0,0.0
Mason Rudolph,QB,PIT,2.83,0.065,0.0
Xavier Restrepo,WR,TEN,2.8,0.0,0.0
Shedrick Jackson,WR,LV,2.78,0.0,0.0
Jalen Tolbert,WR,DAL,2.72,0.0,0.0
Elijah Higgins,TE,ARI,2.65,0.0,0.0
Tyler Johnson,WR,NYJ,2.64,0.0,0.0
Jackson Hawes,TE,BUF,2.63,0.055,0.0
Robbie Chosen,WR,WAS,2.6,0.0,0.0
Tanner Hudson,TE,CIN,2.55,0.0,0.0
Ty Chandler,RB,MIN,2.43,0.0,0.0
Isaiah Williams,WR,NYJ,2.38,0.0,0.0
Chris Moore,WR,WAS,2.36,0.0,0.0
David Sills,WR,ATL,2.36,0.0,0.0
Ameer Abdullah,RB,IND,2.3,0.0,0.0
Mitchell Evans,TE,CAR,2.28,0.011,0.0
